lambdaBS,lambdaUE,numBlockers,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_lb_rate_before_handoff,std_lb_rate_before_handoff,mean_scs_1,std_scs_1,mean_scs_2,std_scs_2,mean_mmW_rate_1,std_mmW_rate_1,mean_mmW_rate_2,std_mmW_rate_2,mean_users_not_bb,std_users_not_bb
25,1000,400,20,400000000,1,0.1,33,0.612232972568051,0.114101476429283,40932550.7525535,10811038.6177642,59067449.2474465,10811038.6177642,1044904246.13783,621609199.76426,1226951026.0788,840282045.765897,4.90382725403693,1.64110488171501
25,1000,400,20,400000000,10,0.1,33,0.610704039077515,0.112809278445108,40797962.3807539,10841424.0038626,59202037.619246,10841424.0038626,1758282680.0296,686377690.299308,1934113579.45313,878099082.53566,4.89356426560686,1.64060313892808
25,1000,400,20,400000000,100,0.1,32,0.610425047740964,0.115553601900027,40689633.1806651,11053115.3526154,59310366.8193349,11053115.3526154,2095611394.63104,692590983.801377,2294387966.31553,922339042.762635,4.88623281774875,1.67554576124726
25,1000,400,40,400000000,1,0.1,32,0.659758582422309,0.127631320072421,44874444.7133861,11469504.5016436,55125555.2866139,11469504.5016436,1057489917.45523,637010726.243234,1338978619.36139,1019428083.93679,4.68556706237034,1.71441421208486
25,1000,400,40,400000000,10,0.1,32,0.659662451190096,0.125217803426471,44944290.7789859,11234859.5323247,55055709.2210141,11234859.5323247,1855307012.37245,772233646.030866,2157031553.92892,1157885304.63039,4.68043887840855,1.66560927855252
25,1000,400,40,400000000,100,0.1,32,0.663124850532286,0.129398329222099,45132194.5258514,11454547.6268659,54867805.4741487,11454547.6268659,2241181872.22937,825562752.261616,2525350383.14007,1205559018.2818,4.69587293874196,1.7300275619838
25,1000,400,60,400000000,1,0.1,32,0.634107240765721,0.100840897671025,43325827.3949782,9822751.27067394,56674172.6050217,9822751.27067394,1066133155.9066,821753442.024029,1286403614.31224,911451393.487715,4.97674709700507,1.81502795204035
25,1000,400,60,400000000,10,0.1,32,0.636406522682184,0.104280908677684,43433074.7655622,10131952.6243835,56566925.2344378,10131952.6243835,1855290603.49292,946060063.916833,2086439554.68303,1001127975.99747,4.99272600155556,1.82252322179753
25,1000,400,60,400000000,100,0.1,32,0.636597611864218,0.103328018727419,43473854.0705504,10077839.0405476,56526145.9294496,10077839.0405476,2249814676.63806,918823777.988602,2480368750.79295,1016714041.53056,5.01878871752901,1.97206831833453
25,1000,400,80,400000000,1,0.1,32,0.595052000209758,0.167223999781706,33688807.6805697,32657291.2510181,66311192.3194303,32657291.2510181,924852915.618948,1586693675.00215,788590830.160403,1706128330.35254,6.4774333631212,6.02490515433539
25,1000,400,80,400000000,10,0.1,32,0.594901938432947,0.168908514092036,32731363.1846119,37752947.8446306,67268636.815388,37752947.8446306,1488729037.14261,2438359269.2257,1289780738.20976,2806705762.68163,6.6069133194571,6.66172267124112
25,1000,400,80,400000000,100,0.1,32,0.595165054079351,0.167042771408059,33683720.9087921,32851339.7050436,66316279.0912079,32851339.7050436,1817158093.05645,2541765394.26735,1647862553.47331,2705847618.96263,6.45912961608263,5.89356204115183
25,1000,400,100,400000000,1,0.1,32,0.572447494609642,0.164492372924275,32009618.9583281,26319063.9043154,67990381.0416719,26319063.9043154,958682507.206776,1349608026.06596,696354008.610462,1341093667.25288,6.86645114164786,3.85840234259608
25,1000,400,100,400000000,10,0.1,32,0.570080471166182,0.167283431469641,31206536.999514,27808742.7564769,68793463.000486,27808742.7564769,1483784118.66629,1804898013.57398,1245475812.55529,1794440262.98937,7.00261504162378,3.98828358579618
25,1000,400,100,400000000,100,0.1,32,0.572143554913647,0.167129531850097,31586383.3081833,27314632.0457629,68413616.6918167,27314632.0457629,1765675105.98386,1994902835.47601,1540346321.17428,1977898418.14234,6.9179815493689,3.85757846237025
