UE idx,lambdaBS,lambdaUE_sub6,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,minRatereq_sub6,outageDuration_wo_CF_Analysis,outageDurationAnalysis,outageProbability_wo_CF_Analysis,outageProbabilityAnalysis,meanOutageDuration_wo_CF,outageProbability_wo_CF,meanOutageDuration,outageProbability
1,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.066666673,0.001666667,0.066666673,0.001666667
2,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.148673809,0.004955794,0.148673809,0.004955794
3,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.1,0.000833333,0.1,0.000833333
4,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.080312576,0.007361986,0.057585303,0.005278653
5,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.072800408,0.00364002,0.072800408,0.00364002
6,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.089803989,0.007483666,0.025000009,0.002083334
7,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.32931467,0.035675756,0.313361985,0.033947548
8,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.116529722,0.016508377,0.029411774,0.004166668
9,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.056250009,0.003750001,0.037500009,0.002500001
10,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.066666673,0.001666667,0.050000007,0.00125
11,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.056250009,0.003750001,0.056250009,0.003750001
12,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.094610747,0.007095806,0.094610747,0.007095806
13,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.437626647,0.014587555,0.437626647,0.014587555
14,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.257622791,0.019321709,0.257622791,0.019321709
15,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.140101068,0.009340071,0.140101068,0.009340071
16,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.130923898,0.018547552,0.130923898,0.018547552
17,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.062500007,0.002083334,0.062500007,0.002083334
18,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.066666675,0.003333334,0.066666675,0.003333334
19,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.264139953,0.022011663,0.259139953,0.021594996
20,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.09691892,0.016960811,0.089247498,0.015618312
21,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.110214723,0.008266104,0.110214723,0.008266104
22,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.176788159,0.014732347,0.015000009,0.001250001
23,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.058333342,0.002916667,0.058333342,0.002916667
24,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.056250009,0.003750001,0.056250009,0.003750001
25,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.058333342,0.002916667,0.058333342,0.002916667
26,75,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.056250009,0.003750001,0.056250009,0.003750001
,,,,,,,,,,,,,,,,0.125021109,0.009111765,0.109618104,0.007632466
